[2024-10-30T20:00:17.849Z] Set profile setting ["integration","hasConnectedIntegrationByType"] to {}: started.
[2024-10-30T20:00:17.890Z] Set profile setting ["integration","hasConnectedIntegrationByType"] to {}: finished. gk-log://duration?t=91
[2024-10-30T20:00:19.202Z] Set profile setting ["tabInfo"] to {"permanentTabs":{"FOCUS_VIEW":{"closed":false},"REPO_MANAGEMENT":{}},"selectedTabId":"9974f240-66d2-4433-a1ae-ac733f4644d3","tabs":[{"id":"9974f240-66d2-4433-a1ae-ac733f4644d3","type":"NEW"},{"id":"e591cc98-2db4-4d27-aa2e-c15adb0f181e","type":"RELEASE_NOTES"}]}: started.
[2024-10-30T20:00:19.209Z] Set profile setting ["tabInfo"] to {"permanentTabs":{"FOCUS_VIEW":{"closed":false},"REPO_MANAGEMENT":{}},"selectedTabId":"9974f240-66d2-4433-a1ae-ac733f4644d3","tabs":[{"id":"9974f240-66d2-4433-a1ae-ac733f4644d3","type":"NEW"},{"id":"e591cc98-2db4-4d27-aa2e-c15adb0f181e","type":"RELEASE_NOTES"}]}: finished. gk-log://duration?t=7
[2024-10-30T20:00:19.213Z] Detecting Git and Git LFS: started
[2024-10-30T20:00:19.226Z] Set profile setting ["projects"] to {}: started.
[2024-10-30T20:00:19.230Z] Set profile setting ["projects"] to {}: finished. gk-log://duration?t=5
[2024-10-30T20:00:20.000Z] Set profile setting ["externalEditor"] to "VS Code": started.
[2024-10-30T20:00:20.047Z] Set profile setting ["externalEditor"] to "VS Code": finished. gk-log://duration?t=47
[2024-10-30T20:00:20.049Z] Detected Git: 2.45.2
[2024-10-30T20:00:20.049Z] Detected Git LFS: 3.5.1
[2024-10-30T20:00:20.050Z] Detecting Git and Git LFS: finished gk-log://duration?t=837
[2024-10-30T20:00:20.079Z] Set profile setting ["projects"] to {}: started.
[2024-10-30T20:00:20.082Z] Set profile setting ["projects"] to {}: finished. gk-log://duration?t=4
[2024-10-30T20:00:22.554Z] Set profile setting ["editor","fontFamily"] to "Menlo": started.
[2024-10-30T20:00:22.558Z] Set profile setting ["editor","fontFamily"] to "Menlo": finished. gk-log://duration?t=4
[2024-10-30T20:00:22.558Z] Set profile setting ["cli","fontFamily"] to "Menlo": started.
[2024-10-30T20:00:22.559Z] Set profile setting ["cli","fontFamily"] to "Menlo": finished. gk-log://duration?t=1
[2024-10-30T20:05:17.843Z] Socket emission error: no socket found to emit.
[2024-10-30T20:05:17.868Z] Socket emission error: no socket found to emit.
[2024-10-30T20:10:17.850Z] Socket emission error: no socket found to emit.
[2024-10-30T20:10:17.867Z] Socket emission error: no socket found to emit.
[2024-10-30T20:15:17.852Z] Socket emission error: no socket found to emit.
[2024-10-30T20:15:17.856Z] Socket emission error: no socket found to emit.
[2024-10-30T20:20:17.859Z] Socket emission error: no socket found to emit.
[2024-10-30T20:20:17.874Z] Socket emission error: no socket found to emit.
[2024-10-30T20:25:17.866Z] Socket emission error: no socket found to emit.
[2024-10-30T20:25:17.875Z] Socket emission error: no socket found to emit.
[2024-10-30T20:30:17.882Z] Socket emission error: no socket found to emit.
[2024-10-30T20:30:17.888Z] Socket emission error: no socket found to emit.
[2024-10-30T20:35:17.903Z] Socket emission error: no socket found to emit.
[2024-10-30T20:35:17.920Z] Socket emission error: no socket found to emit.
[2024-10-30T20:40:17.923Z] Socket emission error: no socket found to emit.
[2024-10-30T20:40:17.929Z] Socket emission error: no socket found to emit.
[2024-10-30T20:45:17.939Z] Socket emission error: no socket found to emit.
[2024-10-30T20:45:17.950Z] Socket emission error: no socket found to emit.
[2024-10-30T20:50:17.973Z] Socket emission error: no socket found to emit.
[2024-10-30T20:50:17.994Z] Socket emission error: no socket found to emit.
[2024-10-30T20:55:17.992Z] Socket emission error: no socket found to emit.
[2024-10-30T20:55:18.009Z] Socket emission error: no socket found to emit.
[2024-10-30T21:00:17.995Z] Socket emission error: no socket found to emit.
[2024-10-30T21:00:18.002Z] Socket emission error: no socket found to emit.
[2024-10-30T21:05:18.051Z] Socket emission error: no socket found to emit.
[2024-10-30T21:05:18.059Z] Socket emission error: no socket found to emit.
[2024-10-30T21:10:18.055Z] Socket emission error: no socket found to emit.
[2024-10-30T21:10:18.060Z] Socket emission error: no socket found to emit.
[2024-10-30T21:16:24.709Z] Socket emission error: no socket found to emit.
[2024-10-30T21:16:24.792Z] Socket emission error: no socket found to emit.
[2024-10-30T21:21:33.121Z] Socket emission error: no socket found to emit.
[2024-10-30T21:21:33.132Z] Socket emission error: no socket found to emit.
[2024-10-30T21:26:35.003Z] Socket emission error: no socket found to emit.
[2024-10-30T21:43:44.199Z] Socket emission error: no socket found to emit.
[2024-10-30T21:59:06.988Z] Socket emission error: no socket found to emit.
[2024-10-30T22:15:13.631Z] Socket emission error: no socket found to emit.
[2024-10-30T22:32:22.291Z] Socket emission error: no socket found to emit.
[2024-10-30T22:48:55.983Z] Socket emission error: no socket found to emit.
[2024-10-30T23:04:38.956Z] Socket emission error: no socket found to emit.
[2024-10-30T23:12:48.631Z] Socket emission error: no socket found to emit.
[2024-10-30T23:29:02.211Z] Socket emission error: no socket found to emit.
[2024-10-30T23:34:25.881Z] Socket emission error: no socket found to emit.
[2024-10-30T23:39:25.863Z] Socket emission error: no socket found to emit.
[2024-10-30T23:39:25.876Z] Socket emission error: no socket found to emit.
[2024-10-30T23:54:55.206Z] Socket emission error: no socket found to emit.
[2024-10-30T23:54:55.211Z] Socket emission error: no socket found to emit.
[2024-10-30T23:59:55.212Z] Socket emission error: no socket found to emit.
[2024-10-30T23:59:55.220Z] Socket emission error: no socket found to emit.
[2024-10-31T00:08:20.057Z] Socket emission error: no socket found to emit.
[2024-10-31T00:08:20.143Z] Socket emission error: no socket found to emit.
[2024-10-31T00:29:46.969Z] Socket emission error: no socket found to emit.
[2024-10-31T00:29:46.998Z] Socket emission error: no socket found to emit.
[2024-10-31T00:45:38.580Z] Socket emission error: no socket found to emit.
[2024-10-31T00:45:38.589Z] Socket emission error: no socket found to emit.
[2024-10-31T01:01:21.246Z] Socket emission error: no socket found to emit.
[2024-10-31T01:01:21.251Z] Socket emission error: no socket found to emit.
[2024-10-31T01:18:07.925Z] Socket emission error: no socket found to emit.
[2024-10-31T01:18:07.927Z] Socket emission error: no socket found to emit.
[2024-10-31T01:29:31.995Z] Socket emission error: no socket found to emit.
[2024-10-31T01:29:32.003Z] Socket emission error: no socket found to emit.
[2024-10-31T01:47:08.617Z] Socket emission error: no socket found to emit.
[2024-10-31T01:47:08.624Z] Socket emission error: no socket found to emit.
[2024-10-31T01:52:27.134Z] Socket emission error: no socket found to emit.
[2024-10-31T01:52:27.145Z] Socket emission error: no socket found to emit.
[2024-10-31T01:57:27.142Z] Socket emission error: no socket found to emit.
[2024-10-31T01:57:27.155Z] Socket emission error: no socket found to emit.
[2024-10-31T02:02:27.154Z] Socket emission error: no socket found to emit.
[2024-10-31T02:02:27.175Z] Socket emission error: no socket found to emit.
[2024-10-31T02:07:27.165Z] Socket emission error: no socket found to emit.
[2024-10-31T02:07:27.183Z] Socket emission error: no socket found to emit.
[2024-10-31T02:12:27.167Z] Socket emission error: no socket found to emit.
[2024-10-31T02:12:27.177Z] Socket emission error: no socket found to emit.
[2024-10-31T02:17:27.169Z] Socket emission error: no socket found to emit.
[2024-10-31T02:17:27.178Z] Socket emission error: no socket found to emit.
[2024-10-31T02:22:27.170Z] Socket emission error: no socket found to emit.
[2024-10-31T02:22:27.180Z] Socket emission error: no socket found to emit.
[2024-10-31T02:27:27.172Z] Socket emission error: no socket found to emit.
[2024-10-31T02:27:27.185Z] Socket emission error: no socket found to emit.
[2024-10-31T02:32:27.170Z] Socket emission error: no socket found to emit.
[2024-10-31T02:32:27.178Z] Socket emission error: no socket found to emit.
[2024-10-31T02:37:27.192Z] Socket emission error: no socket found to emit.
[2024-10-31T02:37:27.214Z] Socket emission error: no socket found to emit.
[2024-10-31T02:42:27.411Z] Socket emission error: no socket found to emit.
[2024-10-31T02:42:27.421Z] Socket emission error: no socket found to emit.
[2024-10-31T02:47:27.411Z] Socket emission error: no socket found to emit.
[2024-10-31T02:47:27.424Z] Socket emission error: no socket found to emit.
[2024-10-31T02:52:27.406Z] Socket emission error: no socket found to emit.
[2024-10-31T02:52:27.414Z] Socket emission error: no socket found to emit.
[2024-10-31T02:57:27.384Z] Socket emission error: no socket found to emit.
[2024-10-31T02:57:27.393Z] Socket emission error: no socket found to emit.
[2024-10-31T03:02:27.375Z] Socket emission error: no socket found to emit.
[2024-10-31T03:02:27.384Z] Socket emission error: no socket found to emit.
[2024-10-31T03:07:27.367Z] Socket emission error: no socket found to emit.
[2024-10-31T03:07:27.393Z] Socket emission error: no socket found to emit.
[2024-10-31T03:12:27.367Z] Socket emission error: no socket found to emit.
[2024-10-31T03:12:27.381Z] Socket emission error: no socket found to emit.
[2024-10-31T03:17:27.467Z] Socket emission error: no socket found to emit.
[2024-10-31T03:17:27.474Z] Socket emission error: no socket found to emit.
[2024-10-31T03:29:34.646Z] Socket emission error: no socket found to emit.
[2024-10-31T03:29:34.660Z] Socket emission error: no socket found to emit.
[2024-10-31T03:40:54.664Z] Socket emission error: no socket found to emit.
[2024-10-31T03:40:54.674Z] Socket emission error: no socket found to emit.
[2024-10-31T03:45:54.664Z] Socket emission error: no socket found to emit.
[2024-10-31T03:45:54.669Z] Socket emission error: no socket found to emit.
[2024-10-31T03:50:54.668Z] Socket emission error: no socket found to emit.
[2024-10-31T03:50:54.676Z] Socket emission error: no socket found to emit.
[2024-10-31T03:55:54.676Z] Socket emission error: no socket found to emit.
[2024-10-31T03:55:54.693Z] Socket emission error: no socket found to emit.
[2024-10-31T04:00:54.670Z] Socket emission error: no socket found to emit.
[2024-10-31T04:00:54.674Z] Socket emission error: no socket found to emit.
[2024-10-31T04:05:54.678Z] Socket emission error: no socket found to emit.
[2024-10-31T04:05:54.690Z] Socket emission error: no socket found to emit.
[2024-10-31T04:10:54.684Z] Socket emission error: no socket found to emit.
[2024-10-31T04:10:54.693Z] Socket emission error: no socket found to emit.
[2024-10-31T04:15:54.686Z] Socket emission error: no socket found to emit.
[2024-10-31T04:15:54.696Z] Socket emission error: no socket found to emit.
[2024-10-31T04:20:54.694Z] Socket emission error: no socket found to emit.
[2024-10-31T04:20:54.705Z] Socket emission error: no socket found to emit.
[2024-10-31T04:25:54.705Z] Socket emission error: no socket found to emit.
[2024-10-31T04:25:54.713Z] Socket emission error: no socket found to emit.
[2024-10-31T04:30:54.718Z] Socket emission error: no socket found to emit.
[2024-10-31T04:30:54.739Z] Socket emission error: no socket found to emit.
[2024-10-31T04:35:54.734Z] Socket emission error: no socket found to emit.
[2024-10-31T04:35:54.751Z] Socket emission error: no socket found to emit.
[2024-10-31T04:47:39.217Z] Socket emission error: no socket found to emit.
[2024-10-31T04:47:39.229Z] Socket emission error: no socket found to emit.
[2024-10-31T05:03:09.357Z] Socket emission error: no socket found to emit.
[2024-10-31T05:03:09.363Z] Socket emission error: no socket found to emit.
[2024-10-31T05:22:12.347Z] Socket emission error: no socket found to emit.
[2024-10-31T05:22:12.368Z] Socket emission error: no socket found to emit.
[2024-10-31T05:38:47.013Z] Socket emission error: no socket found to emit.
[2024-10-31T05:38:47.027Z] Socket emission error: no socket found to emit.
[2024-10-31T05:55:59.914Z] Socket emission error: no socket found to emit.
[2024-10-31T05:55:59.920Z] Socket emission error: no socket found to emit.
[2024-10-31T06:12:27.557Z] Socket emission error: no socket found to emit.
[2024-10-31T06:12:27.611Z] Socket emission error: no socket found to emit.
[2024-10-31T06:27:35.230Z] Socket emission error: no socket found to emit.
[2024-10-31T06:27:35.235Z] Socket emission error: no socket found to emit.
[2024-10-31T06:34:13.925Z] Socket emission error: no socket found to emit.
[2024-10-31T06:34:13.931Z] Socket emission error: no socket found to emit.
[2024-10-31T06:50:48.610Z] Socket emission error: no socket found to emit.
[2024-10-31T06:50:48.615Z] Socket emission error: no socket found to emit.
[2024-10-31T07:08:40.313Z] Socket emission error: no socket found to emit.
[2024-10-31T07:08:40.318Z] Socket emission error: no socket found to emit.
[2024-10-31T07:25:22.013Z] Socket emission error: no socket found to emit.
[2024-10-31T07:25:22.018Z] Socket emission error: no socket found to emit.
[2024-10-31T07:35:14.885Z] Socket emission error: no socket found to emit.
[2024-10-31T07:35:14.891Z] Socket emission error: no socket found to emit.
[2024-10-31T07:51:10.527Z] Socket emission error: no socket found to emit.
[2024-10-31T07:51:10.531Z] Socket emission error: no socket found to emit.
[2024-10-31T08:06:52.244Z] Socket emission error: no socket found to emit.
[2024-10-31T08:06:52.262Z] Socket emission error: no socket found to emit.
[2024-10-31T08:24:33.905Z] Socket emission error: no socket found to emit.
[2024-10-31T08:24:33.908Z] Socket emission error: no socket found to emit.
[2024-10-31T08:36:15.814Z] Socket emission error: no socket found to emit.
[2024-10-31T08:36:15.857Z] Socket emission error: no socket found to emit.
[2024-10-31T08:53:57.362Z] Socket emission error: no socket found to emit.
[2024-10-31T08:53:57.365Z] Socket emission error: no socket found to emit.
[2024-10-31T09:11:22.055Z] Socket emission error: no socket found to emit.
[2024-10-31T09:11:22.060Z] Socket emission error: no socket found to emit.
[2024-10-31T09:26:37.832Z] Socket emission error: no socket found to emit.
[2024-10-31T09:26:37.835Z] Socket emission error: no socket found to emit.
[2024-10-31T09:37:16.492Z] Socket emission error: no socket found to emit.
[2024-10-31T09:37:16.506Z] Socket emission error: no socket found to emit.
[2024-10-31T09:54:04.040Z] Socket emission error: no socket found to emit.
[2024-10-31T09:54:04.045Z] Socket emission error: no socket found to emit.
[2024-10-31T10:11:38.787Z] Socket emission error: no socket found to emit.
[2024-10-31T10:11:38.840Z] Socket emission error: no socket found to emit.
[2024-10-31T10:27:59.470Z] Socket emission error: no socket found to emit.
[2024-10-31T10:27:59.474Z] Socket emission error: no socket found to emit.
[2024-10-31T10:45:40.136Z] Socket emission error: no socket found to emit.
[2024-10-31T10:45:40.142Z] Socket emission error: no socket found to emit.
[2024-10-31T11:03:39.837Z] Socket emission error: no socket found to emit.
[2024-10-31T11:03:39.839Z] Socket emission error: no socket found to emit.
[2024-10-31T11:18:58.540Z] Socket emission error: no socket found to emit.
[2024-10-31T11:18:58.545Z] Socket emission error: no socket found to emit.
[2024-10-31T11:35:02.276Z] Socket emission error: no socket found to emit.
[2024-10-31T11:35:02.279Z] Socket emission error: no socket found to emit.
[2024-10-31T11:50:51.951Z] Socket emission error: no socket found to emit.
[2024-10-31T11:50:51.956Z] Socket emission error: no socket found to emit.
[2024-10-31T12:07:03.830Z] Socket emission error: no socket found to emit.
[2024-10-31T12:07:03.851Z] Socket emission error: no socket found to emit.
[2024-10-31T12:22:43.470Z] Socket emission error: no socket found to emit.
[2024-10-31T12:22:43.477Z] Socket emission error: no socket found to emit.
[2024-10-31T12:38:29.178Z] Socket emission error: no socket found to emit.
[2024-10-31T12:58:03.753Z] Socket emission error: no socket found to emit.
[2024-10-31T13:15:21.404Z] Socket emission error: no socket found to emit.
[2024-10-31T13:29:01.087Z] Socket emission error: no socket found to emit.
